,urls,address,m2,rooms,toilets,prices,latitude,longitude
296,https://www.portalinmobiliario.com/MLC-541589677-santa-elena-895-santiago-chile-_JM#position=28&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Santa Elena 895, Santiago, Chile, Santiago ",38,1,1,260000,-33.2147156,-70.7328134
301,https://www.portalinmobiliario.com/MLC-541570749-zenteno-138-santiago-chile-_JM#position=34&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Zenteno 138, Santiago, Chile, Santiago ",22,1,1,220000,-33.4687422,-70.6495539
302,https://www.portalinmobiliario.com/MLC-541536076-santa-rosa-146-santiago-chile-_JM#position=35&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Santa Rosa 146, Santiago, Chile, Santiago ",33,1,1,290000,-33.4457890969697,-70.64533468181818
303,https://www.portalinmobiliario.com/arriendo/departamento/las-condes-metropolitana/5763854-leonardo-da-vinci-7080-uda#position=36&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Leonardo Da Vinci 7080, Las Condes ",36,1,1,430000,-33.40556221764706,-70.55575339411764
306,https://www.portalinmobiliario.com/MLC-539500308-exequiel-fernandez-90-nunoa-chile-_JM#position=39&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Exequiel Fernandez 90, Ñuñoa, Chile, Ñuñoa ",45,1,1,350000,-33.4555673,-70.59928050898328
307,https://portalinmobiliario.com/MLC-538389751-alcalde-pedro-alarcon-900-_JM#position=41&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Alcalde Pedro Alarcón 900, San Miguel ",67,3,2,460000,-33.4868678,-70.6470865
308,https://www.portalinmobiliario.com/MLC-539684134-avenida-santa-maria-571-recoleta-chile-_JM#position=42&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Avenida Santa María 571, Recoleta, Chile, Recoleta ",35,1,1,280000,-33.432767528947366,-70.64762050263158
309,https://www.portalinmobiliario.com/MLC-539669380-lira-526-santiago-chile-_JM#position=43&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Lira 526, Santiago, Chile, Santiago ",48,2,2,375000,-33.44951049591837,-70.63883082653061
315,https://www.portalinmobiliario.com/MLC-536081720-seminario-650-nunoa-chile-_JM#position=49&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Seminario 650, Ñuñoa, Chile, Ñuñoa ",55,2,2,450000,-33.4536675,-70.6266808
319,https://www.portalinmobiliario.com/MLC-539343553-tarapaca-890-santiago-chile-_JM#position=3&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Tarapacá 890, Santiago, Chile, Santiago ",27,1,1,250000,-33.4472338,-70.6497587
320,https://www.portalinmobiliario.com/MLC-536139918-pedro-lira-1404-providencia-chile-_JM#position=4&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Pedro Lira 1404, Providencia, Chile, Providencia ",59,2,2,490000,-33.44582785,-70.61288227812653
321,https://www.portalinmobiliario.com/MLC-536064570-departamento-en-arriendo-metro-san-miguel-_JM#position=5&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," San Miguel: Metro San Miguel, Santiago ",38,1,1,270000,14.4655606,121.0433681
322,https://www.portalinmobiliario.com/MLC-539279223-juana-de-arco-2080-providencia-chile-_JM#position=6&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Juana De Arco 2080, Providencia, Chile, Providencia ",40,1,1,290000,-33.4268202,-70.6101586
324,https://www.portalinmobiliario.com/MLC-539344065-dr-johow-995-nunoa-region-metropolitana-chile-_JM#position=8&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Dr Johow 995, Ñuñoa, Región Metropolitana, Chile, Ñuñoa ",25,1,1,290000,-33.46443553387097,-70.59435251129031
326,https://www.portalinmobiliario.com/MLC-539520813-carmen-644-santiago-chile-_JM#position=10&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Carmen 644, Santiago, Chile, Santiago ",40,1,1,280000,-33.45186205,-70.64089108750001
327,https://www.portalinmobiliario.com/MLC-537308372-avenida-ricardo-lyon-2830-nunoa-chile-_JM#position=11&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Avenida Ricardo Lyon 2830, Ñuñoa, Chile, Ñuñoa ",68,2,2,600000,-33.4470448,-70.60249605454545
328,https://www.portalinmobiliario.com/MLC-540300548-eleuterio-ramirez-santiago-chile-_JM#position=12&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Eleuterio Ramírez, Santiago, Chile, Santiago ",4,2,2,330000,-33.4499577,-70.653241
329,https://portalinmobiliario.com/MLC-539035007-san-isidro-96-_JM#position=13&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," San Isidro 96, Santiago, Chile, Santiago ",58,2,2,400000,-33.444617,-70.6443617
332,https://portalinmobiliario.com/MLC-540601642-general-flores-60-providencia-_JM#position=16&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," General Flores 60, Providencia, Providencia ",55,2,1,450000,-33.4275566,-70.6190522
333,https://www.portalinmobiliario.com/arriendo/departamento/vitacura-metropolitana/5651373-los-acantos-vitacura-uda#position=17&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Los Acantos / Vitacura, Vitacura ",98,3,2,890000,-33.4034412,-70.5941707
336,https://portalinmobiliario.com/MLC-541668521-suecia-151-_JM#position=21&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Suecia 151, Providencia ",41,1,1,400000,-33.4195976,-70.60846183524714
338,https://www.portalinmobiliario.com/MLC-539763896-serrano-611-santiago-chile-_JM#position=25&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Serrano 611, Santiago, Chile, Santiago ",45,2,2,310000,-33.45256632941176,-70.64788385294118
